"filename", "language", "Docker", "YAML", "Ignore", "pip requirements", "Markdown", "Properties", "Shell Script", "JavaScript", "PostCSS", "HTML", "C", "CMake", "Python", "C++", "Ini", "Assembly", "PowerShell", "JSON", "comment", "blank", "total"
"d:\dptui\mm (1)\SDF\openhitls\crypto\chacha20\src\asm\chacha20_256block_aarch64.S", "Assembly", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 292, 0, 0, 0, 46, 338
"d:\dptui\mm (1)\SDF\openhitls\crypto\chacha20\src\asm\chacha20_512block_aarch64.S", "Assembly", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 388, 0, 0, 0, 35, 423
"d:\dptui\mm (1)\SDF\openhitls\crypto\chacha20\src\asm\chacha20_64block_aarch64.S", "Assembly", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 14, 104
"d:\dptui\mm (1)\SDF\openhitls\crypto\chacha20\src\asm\chacha20_aarch64.S", "Assembly", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 341, 0, 0, 0, 42, 383
"d:\dptui\mm (1)\SDF\openhitls\crypto\chacha20\src\asm\chacha20_common_aarch64.S", "Assembly", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 0, 0, 0, 27, 234
"d:\dptui\mm (1)\SDF\openhitls\crypto\chacha20\src\asm\chacha20_x8664_common.S", "Assembly", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 311, 0, 0, 0, 38, 349
"d:\dptui\mm (1)\SDF\openhitls\crypto\chacha20\src\asm\chacha20block_x8664_avx2.S", "Assembly", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 505, 0, 0, 0, 105, 610
"d:\dptui\mm (1)\SDF\openhitls\crypto\chacha20\src\asm\chacha20block_x8664_avx512.S", "Assembly", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 529, 0, 0, 0, 87, 616
"d:\dptui\mm (1)\SDF\openhitls\crypto\chacha20\src\chacha20.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 57, 14, 256
"d:\dptui\mm (1)\SDF\openhitls\crypto\chacha20\src\chacha20_local.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 14, 8, 32
"d:\dptui\mm (1)\SDF\openhitls\crypto\chacha20\src\chacha20block.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 16, 4, 39
"d:\dptui\mm (1)\SDF\openhitls\crypto\cmac\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
"d:\dptui\mm (1)\SDF\openhitls\crypto\cmac\include\crypt_cbc_mac.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 90, 19, 137
"d:\dptui\mm (1)\SDF\openhitls\crypto\cmac\include\crypt_cmac.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 98, 17, 142
